Conversiones ejecutadas:
Decimal	Binary	Hexadecimal
-39	b100111	x27
-36	b100100	x24
8	1000	8
34	100010	22
17	10001	11
49	110001	31
5	101	5
ABC	0	0
0	100001	21
33	1100	c
12	b110	x6
-6	11011	1b
27	b100	x4
-4	b100110	x26
-38	11010	1a
26	110001	31
49	11101	1d
29	101010	2a
42	b10000	x10
-16	100010	22
ERR	10100	14
34	0	0
20	11001	19
0	101101	2d
25	11	3
45	b101110	x2e
3	b101110	x2e
-46	11101	1d
-46	100001	21
29	11101	1d
33	11010	1a
29	b101	x5
26	b100100	x24
-5	1100	c
-36	101101	2d
12	b110010	x32
45	0	0
-50	b110	x6
Tiempo transcurrido: 9.083747863769531e-05 segundos
